,brand,product_name,initial_price,final_price
0,ORALB,oralb io series 9 electric toothbrush with micro vibration bluetooth ai 3d teeth tracking interactive color display io9,517.3,317.5
1,BLOOD,bundle of 4 blood sanitary pad made with 100 corn,13.4,10.7
2,UNKNOWN,earplug for sleeping dustproof silicone earplugs for noise cancelling and sleep durable washable ear plugs for home office use,7.5,7.5
3,OMILAY,omilay tokyo apple cider vinegar gummies slimming vitamin b9 b12 nutrition gummy food supplements,53.1,53.1
4,POWER MAN,powerman obat kuat pria tahan lama herbal kapsul obat kuat pria perkasa penambah stamina bpom,7.8,7.8
5,NU SKIN,nu skin ageloc lumispa io head gentle,36.0,36.0
6,UNKNOWN,estimulacin del punto g satisfecho pro 2 vibracin satisfaller,60.3,60.3
7,HYPERICE,hyperice normatec 3 full body leg hip arm by aquapro,1815.6,1815.6
8,CURAPROX,curaprox cepillo de dientes cs 5460 ortho brackets,9.9,9.9
9,PINKY PELANGSING,pinky organik capsules original,8.4,8.4
10,UNKNOWN,dispositivo de rescate para adultos y nios porttil de primeros auxilios asfixia con 2 mscaras,22.8,11.4
11,UNKNOWN,glutanol skin health lglutathione 500 mg,15.6,14.8
12,SALORIE,kit de primeros auxilios para el hogar dispositivo de rescate salorie asfixia para adultos y nios porttil,13.7,9.3
13,DARLIE,party 500ml,6.1,6.1
14,UNKNOWN,weight loss clean fat burning 28 days weight loss fat reduction set weight loss tea teatox,2.0,1.7
15,DARLIE,et5,67.5,34.5
16,SUOLAER,kit de primeros auxilios de rescate para adultos y nios dispositivo de asfixia porttil,30.9,11.5
17,UNKNOWN,pink scrub flexyfit series scopia baju jaga premium baju ok premium,15.5,15.5
18,UNKNOWN,gorras de bisbol alo espejo de importacin ori,16.3,16.3
19,UNKNOWN,nuevos cascos arai 1 gorra de bisbol hombres mujeres moda sombrero de polister unisex golf running sun caps snapback sombreros ajustable,18.3,18.3
20,LA GLASSES,la glasses knh mt jennie jentle salon barrette bayonetta y2k kim loi cao cp oval hot trend,11.0,7.0
21,UNKNOWN,central cee corteiz crtz trucker hat drill,24.2,24.2
22,UNKNOWN,corteiz trucker hat impreso diseo de logotipo gorra de bisbol,40.9,40.9
23,UNKNOWN,travel pin brooch pocket pin brooch with brooch free custome name cute gift women,3.1,3.1
24,UNKNOWN,nuevo disponible casco arai 1 gorra de bisbol hombres mujeres moda sombrero de polister unisex golf running sun caps snapback al aire libre,20.6,20.6
25,UNKNOWN,nuevo casco arai disponible 3 gorra de bisbol hombres mujeres moda polister color slido ala curva sombrero unisex golf running s,12.9,12.9
26,UNKNOWN,lc tay dy chuyn cuban titan thi trang vng tay vng c nam cuban phong cch hiphop c tnh,21.6,17.9
27,FORTUNE,new kacamata photocromic cat eye f7003 lensa bluecromic blueray,4.5,3.8
28,UNKNOWN,listo stock dakine 3 gorra de ala curvada pura bisbol hiphop unisex sombrero ajustable deportes al aire libre sol,12.7,12.7
29,UNKNOWN,listo stock arai casco 5 adulto lavado vaquero gorra de bisbol ala curvada sombrero de sol unisex gorra de bisbol simple todos los partidos gorra de bisbol de algodn puro ajustable hombres mujeres influenciador mismo estilo,14.0,14.0
30,UNKNOWN,sombreros de hombremoda de los hombresnuevo estilo specialized snapback sombreros 01 rojo premium,10.1,10.1
31,UNKNOWN,sh15 khn streetwear siu nhiu mu bandana thi trang hng ngy i xe pr v sheri,0.5,0.5
32,UNKNOWN,phong cch ngh mt bu khng kh bnh m ba chiu hn quc hoa rut gi bng n cao cp dy cao cp 2024 phong cch mi,1.0,0.8
33,UNKNOWN,emirates fly better sponsor patch para el patrocinador de jersey servicio de instalacin gratuito debe dar una nota en el pedido,4.3,4.3
